2009-02-09 12:07:10 startup archives install
2009-02-09 12:07:10 install gimp-painter <none> 2.6.4
2009-02-09 12:07:10 status half-installed gimp-painter 2.6.4
2009-02-09 12:07:11 status unpacked gimp-painter 2.6.4
2009-02-09 12:07:11 status unpacked gimp-painter 2.6.4
2009-02-09 12:07:11 configure gimp-painter 2.6.4 2.6.4
2009-02-09 12:07:11 status unpacked gimp-painter 2.6.4
2009-02-09 12:07:11 status half-configured gimp-painter 2.6.4
2009-02-09 12:07:11 status installed gimp-painter 2.6.4
2009-02-09 13:11:31 startup archives install
2009-02-09 13:11:31 upgrade blender 2.48a 2.48a
2009-02-09 13:11:31 status half-configured blender 2.48a
2009-02-09 13:11:31 status unpacked blender 2.48a
2009-02-09 13:11:31 status half-installed blender 2.48a
2009-02-09 13:11:32 status half-installed blender 2.48a
2009-02-09 13:11:32 status unpacked blender 2.48a
2009-02-09 13:11:32 status unpacked blender 2.48a
2009-02-09 13:11:48 startup archives unpack
2009-02-09 13:11:48 install libopenal1 <none> 1:1.4.272-2
2009-02-09 13:11:48 status half-installed libopenal1 1:1.4.272-2
2009-02-09 13:11:48 status unpacked libopenal1 1:1.4.272-2
2009-02-09 13:11:48 status unpacked libopenal1 1:1.4.272-2
2009-02-09 13:11:49 startup packages configure
2009-02-09 13:11:49 configure libopenal1 1:1.4.272-2 1:1.4.272-2
2009-02-09 13:11:49 status unpacked libopenal1 1:1.4.272-2
2009-02-09 13:11:49 status unpacked libopenal1 1:1.4.272-2
2009-02-09 13:11:49 status half-configured libopenal1 1:1.4.272-2
2009-02-09 13:11:49 status installed libopenal1 1:1.4.272-2
2009-02-09 13:11:49 configure blender 2.48a 2.48a
2009-02-09 13:11:49 status unpacked blender 2.48a
2009-02-09 13:11:49 status half-configured blender 2.48a
2009-02-09 13:11:49 status installed blender 2.48a
2009-02-10 07:38:16 startup archives unpack
2009-02-10 07:38:16 install libsensors4 <none> 1:3.0.2-1+b2
2009-02-10 07:38:16 status half-installed libsensors4 1:3.0.2-1+b2
2009-02-10 07:38:16 status unpacked libsensors4 1:3.0.2-1+b2
2009-02-10 07:38:16 status unpacked libsensors4 1:3.0.2-1+b2
2009-02-10 07:38:16 install lm-sensors <none> 1:3.0.2-1+b2
2009-02-10 07:38:16 status half-installed lm-sensors 1:3.0.2-1+b2
2009-02-10 07:38:16 status triggers-pending man-db 2.5.2-2
2009-02-10 07:38:17 status half-installed lm-sensors 1:3.0.2-1+b2
2009-02-10 07:38:17 status unpacked lm-sensors 1:3.0.2-1+b2
2009-02-10 07:38:17 status unpacked lm-sensors 1:3.0.2-1+b2
2009-02-10 07:38:17 trigproc man-db 2.5.2-2 2.5.2-2
2009-02-10 07:38:17 status half-configured man-db 2.5.2-2
2009-02-10 07:38:17 status installed man-db 2.5.2-2
2009-02-10 07:38:17 startup packages configure
2009-02-10 07:38:17 configure libsensors4 1:3.0.2-1+b2 1:3.0.2-1+b2
2009-02-10 07:38:17 status unpacked libsensors4 1:3.0.2-1+b2
2009-02-10 07:38:17 status half-configured libsensors4 1:3.0.2-1+b2
2009-02-10 07:38:18 status installed libsensors4 1:3.0.2-1+b2
2009-02-10 07:38:18 configure lm-sensors 1:3.0.2-1+b2 1:3.0.2-1+b2
2009-02-10 07:38:18 status unpacked lm-sensors 1:3.0.2-1+b2
2009-02-10 07:38:18 status unpacked lm-sensors 1:3.0.2-1+b2
2009-02-10 07:38:18 status unpacked lm-sensors 1:3.0.2-1+b2
2009-02-10 07:38:18 status unpacked lm-sensors 1:3.0.2-1+b2
2009-02-10 07:38:18 status half-configured lm-sensors 1:3.0.2-1+b2
2009-02-10 07:38:19 status installed lm-sensors 1:3.0.2-1+b2
2009-02-10 11:47:47 startup archives install
2009-02-10 11:47:52 upgrade libbabl 0.0.22 0.0.22
2009-02-10 11:47:52 status half-configured libbabl 0.0.22
2009-02-10 11:47:52 status unpacked libbabl 0.0.22
2009-02-10 11:47:52 status half-installed libbabl 0.0.22
2009-02-10 11:47:52 status half-installed libbabl 0.0.22
2009-02-10 11:47:52 status unpacked libbabl 0.0.22
2009-02-10 11:47:52 status unpacked libbabl 0.0.22
2009-02-10 11:47:53 configure libbabl 0.0.22 0.0.22
2009-02-10 11:47:53 status unpacked libbabl 0.0.22
2009-02-10 11:47:53 status half-configured libbabl 0.0.22
2009-02-10 11:47:53 status installed libbabl 0.0.22
2009-02-10 11:48:05 startup archives install
2009-02-10 11:48:05 upgrade libgegl 0.0.22 0.0.22
2009-02-10 11:48:05 status half-configured libgegl 0.0.22
